iter	Logloss
0	0.6612086236
1	0.6308055997
2	0.6148520299
3	0.6028024983
4	0.58849193
5	0.5813815543
6	0.576836618
7	0.5720933141
8	0.5667190465
9	0.5561327659
10	0.5534424981
11	0.5507190766
12	0.5478936521
13	0.5426263077
14	0.5405539007
15	0.5378518617
16	0.5359799027
17	0.5347619542
18	0.5334112076
19	0.5319609292
20	0.5306666347
21	0.5278446421
22	0.5261945363
23	0.5248559527
24	0.5237755219
25	0.5226035659
26	0.5206264271
27	0.5189960137
28	0.5173085105
29	0.5162012137
30	0.5151861403
31	0.5142485471
32	0.5129495612
33	0.5117877763
34	0.5096108761
35	0.5089094422
36	0.5076677528
37	0.5062351857
38	0.5049341259
39	0.5029452375
40	0.50207417
41	0.5005241889
42	0.4997653477
43	0.498294753
44	0.4966944956
45	0.495218197
46	0.4944871546
47	0.4930468879
48	0.4928187676
49	0.4915171032
50	0.490449512
51	0.4895355904
52	0.4879526925
53	0.4863690429
54	0.4851460852
55	0.48427038
56	0.4830031611
57	0.4824612278
58	0.4811819032
59	0.4800925924
60	0.4792171617
61	0.4786308412
62	0.4776053873
63	0.4761401316
64	0.4741013205
65	0.4725044094
66	0.4719380126
67	0.4711839411
68	0.4698445566
69	0.4688667189
70	0.4681800512
71	0.466960154
72	0.4657371467
73	0.4638255544
74	0.4624791714
75	0.4611938022
76	0.4600196871
77	0.4586426646
78	0.4581690171
79	0.4574804202
80	0.4563893557
81	0.4552384965
82	0.4541804634
83	0.4533971473
84	0.4525146441
85	0.4511200622
86	0.4500805042
87	0.4490448769
88	0.4475787568
89	0.4465122065
90	0.4451511861
91	0.4442167506
92	0.4431238555
93	0.4421054005
94	0.4408534033
95	0.4400467263
96	0.4384939979
97	0.4375491011
98	0.4364464723
99	0.4356372163
100	0.434568798
101	0.4337656412
102	0.4326869073
103	0.4316950168
104	0.431193781
105	0.4306120532
106	0.4294970226
107	0.4284495452
108	0.4273464341
109	0.4264016464
110	0.4250056075
111	0.4239228305
112	0.4225273447
113	0.4201264786
114	0.4192116481
115	0.4177902687
116	0.4166321557
117	0.4146722547
118	0.4134671326
119	0.412683006
120	0.4117475791
121	0.4109722212
122	0.409940834
123	0.4088445627
124	0.4080942884
125	0.4065162397
126	0.4056415756
127	0.4048474727
128	0.4043537349
129	0.4031512891
130	0.4023914575
131	0.4014282331
132	0.4000071802
133	0.3990159841
134	0.3976651465
135	0.397160474
136	0.3964043329
137	0.3958054494
138	0.3950612549
139	0.3942915706
140	0.3931919687
141	0.3929779777
142	0.3928463504
143	0.3917472412
144	0.3905558447
145	0.3895774184
146	0.3887337049
147	0.3877960735
148	0.3870494421
149	0.3858137367
150	0.3843596574
151	0.3834076122
152	0.382714897
153	0.3819816753
154	0.3813102661
155	0.3798882104
156	0.3787057832
157	0.3780041828
158	0.3768808095
159	0.376182216
160	0.3751879712
161	0.3735900448
162	0.372545059
163	0.3714957899
164	0.3706754411
165	0.3698183573
166	0.3692071512
167	0.3682292908
168	0.3671873389
169	0.3663563307
170	0.3651704039
171	0.3643017575
172	0.3626886665
173	0.3613147172
174	0.3605522898
175	0.3597792585
176	0.3593889653
177	0.3591762885
178	0.3582874841
179	0.3574324389
180	0.3566324591
181	0.3556916483
182	0.3546858726
183	0.3537813599
184	0.3531370381
185	0.352152928
186	0.3516683525
187	0.3510307092
188	0.3503488765
189	0.3496117742
190	0.3482922192
191	0.3476829488
192	0.346474132
193	0.3455265592
194	0.3447159257
195	0.3441981391
196	0.3434873261
197	0.3428369933
198	0.342074841
199	0.34156335
