iter	Passed	Remaining
417	2650	3689
418	2658	3685
419	2665	3681
420	2673	3676
421	2680	3671
422	2687	3666
423	2695	3661
424	2699	3652
425	2703	3642
426	2711	3638
427	2715	3628
428	2718	3618
429	2727	3616
430	2731	3606
431	2735	3596
432	2742	3590
433	2745	3581
434	2751	3573
435	2759	3570
436	2764	3561
437	2770	3554
438	2777	3548
439	2783	3542
440	2791	3538
441	2795	3529
442	2799	3519
443	2805	3513
444	2811	3506
445	2815	3497
446	2825	3495
447	2831	3488
448	2839	3484
449	2845	3477
450	2849	3468
451	2856	3462
452	2861	3455
453	2865	3446
454	2873	3441
455	2877	3432
456	2883	3425
457	2893	3423
458	2898	3416
459	2908	3413
460	2914	3407
461	2924	3405
462	2928	3396
463	2932	3387
464	2939	3382
465	2943	3372
466	2947	3364
467	2954	3358
468	2959	3350
469	2963	3341
470	2970	3336
471	2975	3328
472	2978	3318
473	2986	3313
474	2990	3305
475	2994	3296
476	2998	3288
477	3004	3281
478	3008	3272
479	3012	3263
480	3019	3257
481	3023	3249
482	3027	3240
483	3032	3233
484	3039	3227
485	3046	3222
486	3054	3217
487	3061	3211
488	3069	3207
489	3074	3200
490	3079	3192
491	3086	3187
492	3092	3180
493	3100	3175
494	3104	3167
495	3108	3158
496	3113	3151
497	3120	3145
498	3124	3136
499	3129	3129
500	3134	3122
501	3140	3115
502	3146	3109
503	3153	3103
504	3157	3094
505	3163	3088
506	3168	3081
507	3172	3072
508	3177	3064
509	3182	3057
510	3186	3049
511	3189	3040
512	3197	3035
513	3201	3027
514	3205	3019
515	3211	3012
516	3217	3005
517	3221	2997
518	3226	2989
519	3231	2983
520	3235	2974
521	3239	2966
522	3247	2961
523	3253	2955
524	3260	2949
525	3266	2943
526	3271	2936
527	3278	2930
528	3284	2924
529	3292	2919
530	3297	2912
531	3301	2904
532	3305	2895
533	3311	2890
534	3315	2881
535	3319	2873
536	3324	2866
537	3329	2859
538	3335	2852
539	3340	2845
540	3345	2838
541	3348	2829
542	3352	2821
543	3359	2815
544	3364	2808
545	3367	2800
546	3372	2792
547	3379	2787
548	3383	2779
549	3386	2770
550	3392	2764
551	3396	2756
552	3400	2748
553	3405	2741
554	3409	2733
555	3413	2725
556	3417	2717
557	3423	2712
558	3428	2704
559	3432	2696
560	3439	2691
561	3445	2685
562	3448	2676
563	3452	2669
564	3458	2662
565	3462	2654
566	3465	2646
567	3472	2641
568	3477	2634
569	3481	2626
570	3485	2618
571	3491	2612
572	3494	2604
573	3498	2596
574	3505	2590
575	3510	2583
576	3513	2575
577	3518	2568
578	3523	2561
579	3527	2554
580	3530	2546
581	3536	2539
582	3541	2533
583	3545	2525
584	3549	2517
585	3555	2511
586	3559	2504
587	3563	2496
588	3567	2489
589	3573	2483
590	3576	2475
591	3580	2467
592	3587	2461
593	3590	2454
594	3594	2446
595	3599	2439
596	3604	2433
597	3608	2425
598	3611	2417
599	3617	2411
600	3622	2404
601	3628	2398
602	3634	2393
603	3641	2387
604	3645	2380
605	3653	2375
606	3659	2369
607	3663	2362
608	3669	2355
609	3673	2348
610	3676	2340
611	3682	2334
612	3687	2328
613	3691	2320
614	3695	2313
615	3701	2307
616	3705	2300
617	3709	2292
618	3714	2286
619	3719	2279
620	3723	2272
621	3726	2264
